year,zip_code,age_group,number_of_visits,age_adjusted_rate,county_fips_code,county
2012,"90048
(34.07316318500045, -118.37406665299972)",Adults (18+),65,29.8,6037,LOS ANGELES
2012,"90049
(34.06172278600047, -118.4722594319997)",AllAges,54,12.4,6037,LOS ANGELES
2012,"90049
(34.06172278600047, -118.4722594319997)",Children (0-17),,,6037,LOS ANGELES
2012,"90049
(34.06172278600047, -118.4722594319997)",Adults (18+),47,12.8,6037,LOS ANGELES
2012,"90056
(33.98651074000048, -118.36959998699967)",AllAges,31,44.3,6037,LOS ANGELES
2012,"90056
(33.98651074000048, -118.36959998699967)",Children (0-17),,,6037,LOS ANGELES
2012,"90056
(33.98651074000048, -118.36959998699967)",Adults (18+),22,34.6,6037,LOS ANGELES
2012,"90057
(34.06211383600049, -118.27713826999968)",AllAges,259,63.2,6037,LOS ANGELES
2012,"90057
(34.06211383600049, -118.27713826999968)",Children (0-17),113,107.4,6037,LOS ANGELES
2012,"90057
(34.06211383600049, -118.27713826999968)",Adults (18+),146,47.9,6037,LOS ANGELES
2012,"90058
(34.00184426500044, -118.22112680399971)",AllAges,33,82.3,6037,LOS ANGELES
2012,"90058
(34.00184426500044, -118.22112680399971)",Children (0-17),23,188.4,6037,LOS ANGELES
2012,"90058
(34.00184426500044, -118.22112680399971)",Adults (18+),,,6037,LOS ANGELES
2012,"90059
(33.927010235000466, -118.24839605799968)",AllAges,443,96.4,6037,LOS ANGELES
2012,"90059
(33.927010235000466, -118.24839605799968)",Children (0-17),256,169.1,6037,LOS ANGELES
2012,"90059
(33.927010235000466, -118.24839605799968)",Adults (18+),187,71.2,6037,LOS ANGELES
2012,"90061
(33.92303021000049, -118.27377957999971)",AllAges,273,95.2,6037,LOS ANGELES
2012,"90061
(33.92303021000049, -118.27377957999971)",Children (0-17),111,125.4,6037,LOS ANGELES
2012,"90061
(33.92303021000049, -118.27377957999971)",Adults (18+),162,84.6,6037,LOS ANGELES
2012,"90062
(34.00387338200045, -118.30885680999972)",AllAges,305,94.7,6037,LOS ANGELES
2012,"90062
(34.00387338200045, -118.30885680999972)",Children (0-17),137,160.2,6037,LOS ANGELES
2012,"90062
(34.00387338200045, -118.30885680999972)",Adults (18+),168,71.9,6037,LOS ANGELES
2012,"90063
(34.044881544000475, -118.18593660399972)",AllAges,292,49.9,6037,LOS ANGELES
2012,"90063
(34.044881544000475, -118.18593660399972)",Children (0-17),158,89.2,6037,LOS ANGELES
2012,"90063
(34.044881544000475, -118.18593660399972)",Adults (18+),134,36.3,6037,LOS ANGELES
2012,"90064
(34.035413777000485, -118.4321767559997)",AllAges,73,28.5,6037,LOS ANGELES
2012,"90064
(34.035413777000485, -118.4321767559997)",Children (0-17),12,23.5,6037,LOS ANGELES
2012,"90064
(34.035413777000485, -118.4321767559997)",Adults (18+),61,30.3,6037,LOS ANGELES
2012,"90065
(34.10881395500047, -118.22766603799971)",AllAges,281,63.6,6037,LOS ANGELES
2012,"90065
(34.10881395500047, -118.22766603799971)",Children (0-17),122,112.5,6037,LOS ANGELES
2012,"90065
(34.10881395500047, -118.22766603799971)",Adults (18+),159,46.7,6037,LOS ANGELES
2012,"90066
(34.002152760000456, -118.4290396619997)",AllAges,159,33.9,6037,LOS ANGELES
2012,"90066
(34.002152760000456, -118.4290396619997)",Children (0-17),60,62.8,6037,LOS ANGELES
2012,"90066
(34.002152760000456, -118.4290396619997)",Adults (18+),99,23.9,6037,LOS ANGELES
2012,"90068
(34.115253253000446, -118.33141607799968)",AllAges,34,18.3,6037,LOS ANGELES
2012,"90068
(34.115253253000446, -118.33141607799968)",Children (0-17),,,6037,LOS ANGELES
2012,"90068
(34.115253253000446, -118.33141607799968)",Adults (18+),24,11.8,6037,LOS ANGELES
2012,"90069
(34.08940047000044, -118.3797890249997)",AllAges,45,40.8,6037,LOS ANGELES
2012,"90069
(34.08940047000044, -118.3797890249997)",Children (0-17),,,6037,LOS ANGELES
2012,"90069
(34.08940047000044, -118.3797890249997)",Adults (18+),38,26.3,6037,LOS ANGELES
2012,"90201
(33.96958259900049, -118.17504801999968)",AllAges,443,41.9,6037,LOS ANGELES
2012,"90201
(33.96958259900049, -118.17504801999968)",Children (0-17),234,69.6,6037,LOS ANGELES
2012,"90201
(33.96958259900049, -118.17504801999968)",Adults (18+),209,32.3,6037,LOS ANGELES
2012,"90210
(34.08553341500044, -118.4042687859997)",AllAges,33,14.6,6037,LOS ANGELES
2012,"90210
(34.08553341500044, -118.4042687859997)",Children (0-17),,,6037,LOS ANGELES
2012,"90210
(34.08553341500044, -118.4042687859997)",Adults (18+),26,13.2,6037,LOS ANGELES
2012,"90211
(34.065663706000464, -118.38146619699972)",AllAges,22,29.9,6037,LOS ANGELES
2012,"90211
(34.065663706000464, -118.38146619699972)",Children (0-17),,,6037,LOS ANGELES
2012,"90211
(34.065663706000464, -118.38146619699972)",Adults (18+),12,18.8,6037,LOS ANGELES
2012,"90212
(34.063843148000444, -118.40025834499971)",AllAges,17,17.9,6037,LOS ANGELES
2012,"90212
(34.063843148000444, -118.40025834499971)",Children (0-17),,,6037,LOS ANGELES
2012,"90212
(34.063843148000444, -118.40025834499971)",Adults (18+),,,6037,LOS ANGELES
2012,"90220
(33.88573268300047, -118.23452680099967)",AllAges,466,90,6037,LOS ANGELES
2012,"90220
(33.88573268300047, -118.23452680099967)",Children (0-17),208,135.4,6037,LOS ANGELES
2012,"90220
(33.88573268300047, -118.23452680099967)",Adults (18+),258,74.2,6037,LOS ANGELES
2012,"90221
(33.89560019000049, -118.2056368589997)",AllAges,429,75.8,6037,LOS ANGELES
2012,"90221
(33.89560019000049, -118.2056368589997)",Children (0-17),210,114.1,6037,LOS ANGELES
